,epoch,train_loss,RMSE,pearson,kendalltau,spearmanr
0,0,0.0013518015621230006,1.6040108362,0.060911658,0.0324278072,0.0484932951
1,1,1.104018211364746,0.4344005471,0.041087384,0.0118153913,0.0190659622
2,2,0.09488134831190109,0.3024248029,0.0518705154,0.0261217769,0.0389320823
3,3,0.0458727702498436,0.3724135972,0.0423728482,0.0261778804,0.0379884596
4,4,0.06944342702627182,0.219223578,0.0473770682,0.0315862551,0.0467408173
5,5,0.023921897634863853,0.0401085949,0.0541180834,0.0328093108,0.0511176492
6,6,0.0008097851532511413,0.172237751,0.0532874093,0.0316535793,0.0485678201
7,7,0.014931196346879005,0.1859335273,0.0546742435,0.0291064816,0.0453941426
8,8,0.01747140660881996,0.1114176053,0.0525981846,0.024169376,0.0368304594
9,9,0.006387199275195599,0.045915875,0.0511639532,0.017964332,0.0261455356
10,10,0.00107395660597831,0.1092321645,0.0480405421,0.0127130469,0.0184027116
11,11,0.005725397262722254,0.1324898794,0.0457348555,0.0116246395,0.0159040109
12,12,0.00843487773090601,0.1029905397,0.044623302,0.0105811149,0.0146166894
13,13,0.005081042647361755,0.0551362493,0.0433231116,0.0101435079,0.0148515739
14,14,0.0014983346918597817,0.0619849219,0.0451167119,0.0115573154,0.0170713476
15,15,0.0020618585404008627,0.0923273299,0.0469340524,0.0138351164,0.0209864687
16,16,0.004480860196053982,0.0936128319,0.0471386899,0.0141605165,0.0212326348
17,17,0.004601575899869204,0.0698337749,0.0442801565,0.0114675498,0.0169799002
18,18,0.002597037237137556,0.0477703916,0.0400587664,0.0073158928,0.0104005782
19,19,0.0011893234914168715,0.0596301964,0.0370166744,0.0058908646,0.0076088068
20,20,0.00170112494379282,0.0773168932,0.0364048053,0.0054083748,0.0069161851
21,21,0.0028275952208787203,0.0785035046,0.0366773878,0.0055879059,0.0076601574
22,22,0.0029084505513310432,0.0641345697,0.0375967983,0.0064406787,0.0088714255
23,23,0.0019346807384863496,0.0470315811,0.0392630166,0.0086960383,0.0112741773
24,24,0.0010659042745828629,0.0471123676,0.0407407929,0.008998997,0.0120039503
25,25,0.0011493276106193662,0.0571828528,0.0434549338,0.0111870325,0.0153897825
26,26,0.0017184446332976222,0.0592684013,0.0456317749,0.0126569434,0.0177985641
27,27,0.0018436070531606674,0.0519873817,0.0473885553,0.0129486815,0.0188389137
28,28,0.0014099179534241557,0.0424566569,0.0471662304,0.0128028125,0.018417272
29,29,0.0009060943266376853,0.0416685303,0.0481666597,0.0120734673,0.0171718258
30,30,0.0008067935705184937,0.0482519098,0.0486215185,0.0112431359,0.0161269469
31,31,0.001049352460540831,0.051621962,0.0489571762,0.011938819,0.0169545027
32,32,0.0011935681104660034,0.0489200456,0.0505967151,0.0126569434,0.0185718518
33,33,0.0010649756295606494,0.0421602213,0.0518870232,0.0140483096,0.0209375912
34,34,0.0007888037944212556,0.0369841393,0.0532762799,0.0149459651,0.0225207898
35,35,0.0006250399746932089,0.0372008531,0.0545438424,0.0167188349,0.0250538355
36,36,0.0006691738963127136,0.0397381006,0.0559682387,0.0185365874,0.0274810955
37,37,0.0007882392965257168,0.0400905053,0.0569406122,0.0195352292,0.0288651995
38,38,0.0008052685298025608,0.0373843973,0.0574404922,0.0196362154,0.0288888186
39,39,0.000686217041220516,0.0340962973,0.0575702023,0.0191873877,0.0281933904
40,40,0.0005421363166533411,0.033397575,0.0571283791,0.0187946633,0.0273322677
41,41,0.00048743502702564,0.0353080195,0.057245469,0.0183233942,0.0269459157
42,42,0.0005265878862701356,0.0370224604,0.058094528,0.0188171047,0.0273778664
43,43,0.000573738943785429,0.0365879745,0.059043763,0.0196249947,0.0282471585
44,44,0.0005570249049924314,0.0341560414,0.0601008837,0.0205675331,0.0297704759
45,45,0.00048281234921887517,0.0313838529,0.0611622173,0.02229552,0.0322981031
46,46,0.0004110968438908458,0.0299436744,0.0625780467,0.0238551966,0.0341018758
47,47,0.000387684820452705,0.0299927871,0.0646176801,0.026043232,0.0371868569
48,48,0.0004061455256305635,0.0302356042,0.0652935213,0.0273560533,0.0386425961
49,49,0.0004220413393341005,0.0297409879,0.0662623193,0.0282537088,0.0401939229
50,50,0.00040683854604139924,0.0285704133,0.0680793092,0.029790944,0.0425175093
51,51,0.00036452882341109216,0.027692932,0.0700731561,0.0312047515,0.0447719335
52,52,0.0003263862745370716,0.0278191274,0.0720853034,0.0328205315,0.0469064841
53,53,0.0003151883720420301,0.0285401201,0.073408637,0.0339313803,0.0488523324
54,54,0.00032409257255494595,0.0287414334,0.0722145892,0.0333254628,0.0481061372
55,55,0.00032571644987910986,0.0278125238,0.0738176905,0.03408847,0.0492398793
56,56,0.0003055614361073822,0.0264653841,0.0771377391,0.0356481465,0.0511726121
57,57,0.0002813030732795596,0.0255925208,0.0805588798,0.0373649128,0.0531419961
58,58,0.00027234372100792825,0.0253193757,0.0825880963,0.0382962305,0.0548689931
59,59,0.00027448017499409616,0.025069931,0.0829539109,0.0387113962,0.055707247
60,60,0.0002700661134440452,0.0246814075,0.0822860152,0.0386328513,0.0556519506
61,61,0.0002564222668297589,0.024404991,0.0811640911,0.0384308788,0.0556660942
62,62,0.00024228086112998426,0.0244218651,0.0800149636,0.0390255756,0.0564654462
63,63,0.0002348905400140211,0.0245645748,0.0791837237,0.039451962,0.057312453
64,64,0.0002327421389054507,0.0245025047,0.0790802843,0.0395866103,0.0576472878
65,65,0.00022922208881936967,0.024097289,0.0796960158,0.0399456726,0.0584771222
66,66,0.00022116611944511533,0.0234995308,0.0807818617,0.0411350662,0.0604013521
67,67,0.0002114364324370399,0.0229636599,0.0821302963,0.0419766183,0.0618751251
68,68,0.00020449492149055004,0.0226128861,0.0834913147,0.0427059634,0.0632405284
69,69,0.00020125425362493843,0.0223811305,0.0846901508,0.0435362948,0.0646522249
70,70,0.00019878422608599067,0.0221651811,0.0856689992,0.0444339504,0.0665088766
71,71,0.00019418784359004349,0.021943508,0.0883204165,0.0456121233,0.0684346904
72,72,0.0001876722672022879,0.0217669388,0.0910022841,0.0474410965,0.0711758059
73,73,0.00018183777865488082,0.0216625388,0.0926566603,0.0484958418,0.0727619222
74,74,0.00017732770356815308,0.0215984902,0.0943611787,0.0497413389,0.0741791207
75,75,0.0001741073647281155,0.0215070857,0.0960851516,0.0509195118,0.0757068285
76,76,0.0001712512457743287,0.021332698,0.0978467524,0.0524455263,0.0778762241
77,77,0.00016781262820586562,0.0210734118,0.0995029386,0.0533319611,0.079189082
78,78,0.00016369821969419718,0.0207731393,0.1011898801,0.0545101341,0.0809643452
79,79,0.00015954366244841367,0.0204879861,0.1028881027,0.0556770863,0.0827892361
80,80,0.0001560286182211712,0.0202480446,0.1045496501,0.056496197,0.0838902172
81,81,0.000153238870552741,0.0200509321,0.1062220289,0.0578763424,0.0858526544
82,82,0.0001506834669271484,0.0198817482,0.1078601846,0.0585720255,0.0869755595
83,83,0.00014784192899242043,0.0197346865,0.1094136713,0.0595033431,0.0885216902
84,84,0.0001446688111172989,0.0196147568,0.1109325619,0.060535647,0.0899881552
85,85,0.0001415163278579712,0.0195203803,0.1124679288,0.0612649922,0.0914166352
86,86,0.0001387303345836699,0.0194346699,0.1140855045,0.0621738684,0.0927639768
87,87,0.00013632341870106757,0.0193294679,0.1157120169,0.0631164068,0.0943418682
88,88,0.0001340337039437145,0.0191857829,0.1172590599,0.0638569726,0.0954164515
89,89,0.00013159467198420316,0.0190053557,0.118746219,0.0644853315,0.0962197214
90,90,0.0001290159416384995,0.0188066898,0.1202734664,0.065641063,0.0977938615
91,91,0.00012648937990888953,0.0186152266,0.1217376795,0.0667406911,0.0995264992
92,92,0.00012420698476489633,0.0184443272,0.1232299069,0.0677393329,0.1009585082
93,93,0.00012214195157866925,0.0182956157,0.1247263457,0.0686033264,0.102013057
94,94,0.00012014644016744569,0.0181669573,0.1261622962,0.0696917338,0.1037005685
95,95,0.000118080381071195,0.0180564274,0.1276273799,0.0706567135,0.1052617875
96,96,0.0001159515741164796,0.0179613348,0.1291230237,0.071374838,0.1061313297
97,97,0.00011388525308575481,0.0178750507,0.1305798234,0.0724295832,0.1075417203
98,98,0.00011199645814485848,0.0177830329,0.1321681844,0.0733160181,0.1087806922
99,99,0.00011022421676898375,0.0176725779,0.1338351914,0.0751786534,0.1110647653
