,epoch,train_loss,RMSE,pearson,kendalltau,spearmanr
0,0,0.1240134984254837,0.3028292943,0.2137615857,0.1684001836,0.2405763959
1,1,0.0452888198196888,0.130159244,0.0598944645,0.0625778134,0.0947932143
2,2,0.009940904565155506,0.0583608574,-0.0831448929,-0.0123988675,-0.0175736552
3,3,0.00180904904846102,0.0608885652,-0.1181700229,-0.0166066279,-0.0169653397
4,4,0.001849209307692945,0.0624148908,-0.1079058149,-0.0318331104,-0.0345104298
5,5,0.0019345133332535625,0.0636376579,-0.0892640045,-0.0198045259,-0.0149997626
6,6,0.0020159673877060413,0.0638669492,-0.0853499993,-0.0302061097,-0.0277500192
7,7,0.0020348906982690096,0.0641587762,-0.0509133729,-0.0307222616,-0.0309954153
8,8,0.002056350465863943,0.0647835764,-0.0353061608,-0.0265706047,-0.0257779121
9,9,0.0020680755842477083,0.0644685112,0.0699023002,-0.0410565213,-0.046019575
10,10,0.002079843310639262,0.064656371,0.008879746,-0.0419429562,-0.0467626024
11,11,0.0020740008912980556,0.0644358944,0.0483428556,-0.0535788164,-0.0609081613
12,12,0.0020671964157372713,0.0640321524,0.142899459,-0.0665836014,-0.0798411066
13,13,0.0020403966773301363,0.0653736975,0.1670788841,-0.0768168748,-0.0936149016
14,14,0.00210248283110559,0.0645848884,0.1016122036,-0.051278574,-0.0608509754
15,15,0.0020535485818982124,0.0639921621,0.1426470184,-0.0632734965,-0.0746534467
16,16,0.0020529571920633316,0.0639556064,0.1200467192,-0.0733496802,-0.0887470159
17,17,0.002073374344035983,0.0644445548,0.0990659997,-0.0810246353,-0.1021573833
18,18,0.0021296346094459295,0.0646032975,0.0077448903,-0.0682442642,-0.0824715183
19,19,0.002064117696136236,0.0640709146,0.2208039665,-0.0771422749,-0.0936836192
20,20,0.002087610773742199,0.0636504088,0.1616379934,-0.0737760666,-0.0902349326
21,21,0.0020460188388824463,0.064202267,0.0681156588,-0.093670358,-0.1207294573
22,22,0.0020916073117405176,0.0634772508,0.0839574014,-0.0843235194,-0.1070578633
23,23,0.002090329071506858,0.0633236091,0.1768322408,-0.0811144008,-0.1008940143
24,24,0.0020356420427560806,0.0635529644,0.1407698597,-0.0868032929,-0.1105388941
25,25,0.002021406777203083,0.0633219561,0.079689947,-0.1020634375,-0.1329029369
26,26,0.002034898614510894,0.0637421349,0.0526762901,-0.0980127668,-0.1277248358
27,27,0.0020518966484814882,0.0638597372,0.0058522481,-0.1041953695,-0.1398379894
28,28,0.0020245560444891453,0.0631598153,0.095341853,-0.1044871075,-0.1368083881
29,29,0.0019879399333149195,0.0625200768,0.0093651713,-0.1219689496,-0.166612931
30,30,0.001991996308788657,0.0622842208,0.0919422304,-0.0993592501,-0.1329897994
31,31,0.0020823050290346146,0.062796792,0.0020655309,-0.108952944,-0.1466929318
32,32,0.0019760073628276587,0.062551928,0.044261567,-0.1059233564,-0.1411453176
