,epoch,train_loss,RMSE,pearson,kendalltau,spearmanr
0,0,0.0044106547720730305,0.6471488274,0.039387394,-0.0445274334,-0.0668645083
1,1,0.20875899493694305,0.2023569885,0.0469766904,0.0212820713,0.0332676354
2,2,0.019634058699011803,0.1516781645,-0.0280630958,0.0056150114,0.0040775642
3,3,0.012058524414896965,0.2725028071,0.0510534681,0.0196721729,0.024994399
4,4,0.036331746727228165,0.2472662502,0.0177077213,0.0580348735,0.086556316
5,5,0.030101239681243896,0.1608078602,-0.0366346489,-0.023049033,-0.036169613
6,6,0.013228006660938263,0.0655889857,-0.0431858602,0.0199470336,0.0289263882
7,7,0.002200952498242259,0.0601597016,-0.0658892843,-0.0733092752,-0.1088801925
8,8,0.0019969388376921415,0.1161367206,0.032095747,-0.0295478147,-0.0456112071
9,9,0.006381206214427948,0.1247615566,0.0539321548,-0.0116619468,-0.0206302627
